MeteringPointGSRN;Product Type;Resolution;Unit Type;Reading Type;Start Time;Quantity;Quality
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2022-12-31T22:00:00Z;0,735000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2022-12-31T23:00:00Z;0,933000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T00:00:00Z;0,869000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T01:00:00Z;0,943000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T02:00:00Z;5,128000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T03:00:00Z;3,962000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T04:00:00Z;3,969000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T05:00:00Z;3,286000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T06:00:00Z;3,669000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T07:00:00Z;1,612000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T08:00:00Z;0,879000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T09:00:00Z;0,857000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T10:00:00Z;0,648000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T11:00:00Z;0,621000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T12:00:00Z;0,577000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T13:00:00Z;6,431000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T14:00:00Z;5,014000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T15:00:00Z;5,242000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T16:00:00Z;4,406000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T17:00:00Z;1,079000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T18:00:00Z;0,844000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T19:00:00Z;0,857000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T20:00:00Z;0,887000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T21:00:00Z;0,994000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T22:00:00Z;1,097000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-01T23:00:00Z;0,752000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T00:00:00Z;0,753000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T01:00:00Z;0,784000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T02:00:00Z;0,669000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T03:00:00Z;0,630000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T04:00:00Z;0,648000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T05:00:00Z;0,620000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T06:00:00Z;0,569000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T07:00:00Z;0,652000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T08:00:00Z;0,628000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T09:00:00Z;0,642000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T10:00:00Z;0,662000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T11:00:00Z;0,799000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T12:00:00Z;0,636000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T13:00:00Z;0,713000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T14:00:00Z;1,424000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T15:00:00Z;3,703000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T16:00:00Z;5,952000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T17:00:00Z;4,987000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T18:00:00Z;5,165000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T19:00:00Z;5,617000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T20:00:00Z;2,042000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T21:00:00Z;1,673000;OK
TEST_METERINGPOINT;TEST_PRODUCT;PT1H;kWh;BN01;2023-01-02T22:00:00Z;0,967000;OK
